run_id,window,horizon,trend_threshold,long_target_threshold,short_target_threshold,long_adverse_limit,short_adverse_limit,min_15m_drop,min_15m_rise,max_flat_ratio,stage1_min_prob,stage2_min_prob,model_source,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.48_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.0,0.48,0.55,trained,0,159.32,OK,1102,69,4613.889999999986,4.1868330308529815,66.86797101449255,68.11594202898551,0.6492069364171066,0.553886574968321,5848.935995258162
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.55_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.55,0.55,trained,0,215.49,OK,1257,73,4635.199999999985,3.687509944311842,63.4958904109587,67.12328767123287,0.6598714843904818,0.5158415725461221,5822.274449258436
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.55_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.55,0.55,trained,0,181.23,OK,1257,73,4635.199999999985,3.687509944311842,63.4958904109587,67.12328767123287,0.6598714843904818,0.5158415725461221,5822.274449258436
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.52_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.0,0.52,0.55,trained,0,157.11,OK,1147,68,4475.070000000009,3.901543156059293,65.8098529411766,75.0,0.644385081246757,0.5474640871177016,5772.53408711771
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.52_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.0,0.52,0.55,trained,0,151.95,OK,1147,68,4475.070000000009,3.901543156059293,65.8098529411766,75.0,0.644385081246757,0.5474640871177016,5772.53408711771
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f4_p10.5_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,4.0,0.5,0.55,trained,0,165.26,OK,1021,64,4411.449999999999,4.32071498530852,68.92890624999998,71.875,0.6526938314511893,0.5419725419089149,5672.172541908913
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f4_p10.5_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,4.0,0.5,0.55,trained,0,213.05,OK,1021,64,4411.449999999999,4.32071498530852,68.92890624999998,71.875,0.6526938314511893,0.5419725419089149,5672.172541908913
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.5_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.5,0.55,trained,0,192.77,OK,1442,76,4489.560000000004,3.1134257975034703,59.073157894736894,67.10526315789474,0.6756607349404561,0.508111090695865,5668.723722274816
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.5_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.5,0.55,trained,0,187.56,OK,1442,76,4489.560000000004,3.1134257975034703,59.073157894736894,67.10526315789474,0.6756607349404561,0.508111090695865,5668.723722274816
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f4_p10.5_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,4.0,0.5,0.5,trained,0,168.04,OK,1069,63,4370.449999999998,4.088353601496724,69.37222222222219,74.60317460317461,0.6495476094971397,0.5417473090502524,5658.229055081997
