side,entry_idx,exit_idx,entry_time,exit_time,entry_price,exit_price,pnl_usd,bars_held,exit_reason,lookback,ema_fast,ema_slow,atr_period,tp_atr,sl_atr,max_hold
long,5310,5317,2026-03-24 20:30:00+00:00,2026-03-24 23:15:00+00:00,4455.87,4490.9164,35.046400000000176,8,take_profit,24,20,60,10,1.6,1.3,10
long,5366,5369,2026-03-25 11:30:00+00:00,2026-03-25 12:15:00+00:00,4580.27,4563.2452,-17.02480000000014,4,stop_loss,24,20,60,10,1.6,1.3,10
short,5437,5438,2026-03-26 06:15:00+00:00,2026-03-26 06:30:00+00:00,4421.46,4442.7449,-21.284899999999652,2,stop_loss,24,20,60,10,1.6,1.3,10
short,5478,5487,2026-03-26 16:30:00+00:00,2026-03-26 18:45:00+00:00,4397.06,4394.83,2.230000000000473,10,timeout,24,20,60,10,1.6,1.3,10
short,5492,5492,2026-03-26 20:00:00+00:00,2026-03-26 20:00:00+00:00,4363.96,4383.8344,-19.874399999999696,1,stop_loss,24,20,60,10,1.6,1.3,10
long,5561,5563,2026-03-27 14:15:00+00:00,2026-03-27 14:45:00+00:00,4460.03,4489.2652,29.235200000000077,3,take_profit,24,20,60,10,1.6,1.3,10
long,5565,5573,2026-03-27 15:15:00+00:00,2026-03-27 17:15:00+00:00,4525.47,4493.8943,-31.575700000000325,9,stop_loss,24,20,60,10,1.6,1.3,10
long,5621,5623,2026-03-30 06:15:00+00:00,2026-03-30 06:45:00+00:00,4530.81,4550.5076,19.69759999999951,3,take_profit,24,20,60,10,1.6,1.3,10
long,5643,5644,2026-03-30 11:45:00+00:00,2026-03-30 12:00:00+00:00,4566.56,4550.4413,-16.11869999999999,2,stop_loss,24,20,60,10,1.6,1.3,10
long,5735,5739,2026-03-31 11:45:00+00:00,2026-03-31 12:45:00+00:00,4592.43,4570.4223,-22.007700000000114,5,stop_loss,24,20,60,10,1.6,1.3,10
long,5744,5753,2026-03-31 14:00:00+00:00,2026-03-31 16:15:00+00:00,4607.78,4617.6,9.820000000000618,10,timeout,24,20,60,10,1.6,1.3,10
long,5755,5764,2026-03-31 16:45:00+00:00,2026-03-31 19:00:00+00:00,4642.05,4672.5716,30.521600000000035,10,take_profit,24,20,60,10,1.6,1.3,10
long,5808,5809,2026-04-01 07:00:00+00:00,2026-04-01 07:15:00+00:00,4731.89,4713.115400000001,-18.774599999999737,2,stop_loss,24,20,60,10,1.6,1.3,10
long,5827,5828,2026-04-01 11:45:00+00:00,2026-04-01 12:00:00+00:00,4760.59,4745.7934000000005,-14.796599999999671,2,stop_loss,24,20,60,10,1.6,1.3,10
long,5843,5852,2026-04-01 15:45:00+00:00,2026-04-01 18:00:00+00:00,4785.88,4762.5632000000005,-23.316799999999603,10,stop_loss,24,20,60,10,1.6,1.3,10
short,5897,5900,2026-04-02 06:15:00+00:00,2026-04-02 07:00:00+00:00,4580.73,4611.0199999999995,-30.289999999999964,4,stop_loss,24,20,60,10,1.6,1.3,10
short,5925,5927,2026-04-02 13:15:00+00:00,2026-04-02 13:45:00+00:00,4587.72,4612.791800000001,-25.07180000000062,3,stop_loss,24,20,60,10,1.6,1.3,10
long,5996,6005,2026-04-06 08:00:00+00:00,2026-04-06 10:15:00+00:00,4684.96,4689.71,4.75,10,timeout,24,20,60,10,1.6,1.3,10
short,6113,6113,2026-04-07 14:15:00+00:00,2026-04-07 14:15:00+00:00,4621.59,4644.6714999999995,-23.081499999999323,1,stop_loss,24,20,60,10,1.6,1.3,10
long,6134,6135,2026-04-07 19:30:00+00:00,2026-04-07 19:45:00+00:00,4688.18,4713.696800000001,25.51680000000033,2,take_profit,24,20,60,10,1.6,1.3,10
short,6222,6224,2026-04-08 18:30:00+00:00,2026-04-08 19:00:00+00:00,4722.45,4700.1924,22.25759999999991,3,take_profit,24,20,60,10,1.6,1.3,10
long,6287,6289,2026-04-09 11:45:00+00:00,2026-04-09 12:15:00+00:00,4751.43,4741.5903,-9.839700000000448,3,stop_loss,24,20,60,10,1.6,1.3,10
long,6295,6295,2026-04-09 13:45:00+00:00,2026-04-09 13:45:00+00:00,4776.32,4759.942599999999,-16.377400000000307,1,stop_loss,24,20,60,10,1.6,1.3,10
long,6302,6311,2026-04-09 15:30:00+00:00,2026-04-09 17:45:00+00:00,4779.24,4797.73,18.48999999999978,10,timeout,24,20,60,10,1.6,1.3,10
