os,warm,ob,cool,slk,ros,rob,n,eh,tpx,slx,rr,pt,nt,pnl,wr,dd
0,-30,-60,-10,0,20,15,74306,360,0.6,0.4,1.4999999999999998,0.45,87,409.9560908982753,47.12643678160919,-153.46055187432194
0,-30,-60,-10,0,15,15,74306,360,0.6,0.4,1.4999999999999998,0.45,87,409.9560908982753,47.12643678160919,-153.46055187432194
-5,-30,-60,-10,0,15,15,74306,360,0.6,0.4,1.4999999999999998,0.45,87,409.9560908982753,47.12643678160919,-153.46055187432194
0,-30,-60,-10,0,20,10,73983,360,0.45,0.4,1.125,0.4,112,406.1364156306058,48.214285714285715,-149.6843133315324
0,-30,-60,-10,0,20,10,73983,480,0.7,0.3,2.3333333333333335,0.4,126,394.7308303238069,41.269841269841265,-140.3174279417699
0,-30,-60,-10,0,20,10,73983,360,0.45,0.3,1.5,0.4,123,391.99364179403074,44.71544715447154,-136.46198654097316
-5,-30,-60,-10,0,15,15,74306,480,0.65,0.2,3.25,0.45,171,390.39303107970636,33.33333333333333,-200.56797740440834
0,-30,-60,-10,0,15,15,74306,480,0.65,0.2,3.25,0.45,171,390.39303107970636,33.33333333333333,-200.56797740440834
-5,-30,-60,-10,0,20,15,74306,480,0.65,0.2,3.25,0.45,171,390.39303107970636,33.33333333333333,-200.56797740440834
0,-30,-60,-10,0,20,15,74306,480,0.65,0.2,3.25,0.45,171,390.39303107970636,33.33333333333333,-200.56797740440834
-5,-30,-60,-10,0,20,15,74306,480,0.5,0.2,2.5,0.4,189,389.57917907394767,37.03703703703704,-235.04193790778118
-5,-30,-60,-10,0,15,15,74306,480,0.5,0.2,2.5,0.4,189,389.57917907394767,37.03703703703704,-235.04193790778118
0,-30,-60,-10,0,20,15,74306,480,0.5,0.2,2.5,0.4,189,389.57917907394767,37.03703703703704,-235.04193790778118
0,-30,-60,-10,0,15,15,74306,480,0.5,0.2,2.5,0.4,189,389.57917907394767,37.03703703703704,-235.04193790778118
0,-30,-60,-10,0,20,10,73983,360,0.45,0.25,1.8,0.45,125,385.50783854269,42.4,-182.1775617570729
