entry_time,exit_time,pnl,side,source,matched_pattern,pattern,exit_reason,entry_price,exit_price
2024-10-15 16:15:00+00:00,2024-10-15 16:30:00+00:00,30.0,1,long_retrace,,long_ret,tp,6995.5,7025.5
2024-10-16 08:00:00+00:00,2024-10-16 08:15:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7036.8,7021.8
2024-10-16 15:15:00+00:00,2024-10-16 15:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6973.2,6988.2
2024-10-17 13:00:00+00:00,2024-10-17 13:15:00+00:00,-15.0,1,ret,,ret,sl,6988.2,6973.2
2024-10-17 13:30:00+00:00,2024-10-17 13:45:00+00:00,30.0,1,long_retrace,,long_ret,tp,6998.7,7028.7
2024-10-17 15:00:00+00:00,2024-10-17 15:15:00+00:00,-15.0,1,ret,,ret,sl,7000.7,6985.7
2024-10-18 09:00:00+00:00,2024-10-18 10:00:00+00:00,30.0,-1,ret_short,,ret_short,tp,7041.1,7011.1
2024-10-18 15:30:00+00:00,2024-10-18 16:00:00+00:00,30.0,1,long_retrace,,long_ret,tp,6853.5,6883.5
2024-10-18 16:00:00+00:00,2024-10-18 16:30:00+00:00,-15.0,1,long_retrace,,long_ret,sl,6932.5,6917.5
2024-10-22 09:15:00+00:00,2024-10-22 09:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7064.4,7079.4
2024-10-22 14:30:00+00:00,2024-10-22 14:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7114.1,7129.1
2024-10-22 15:15:00+00:00,2024-10-22 16:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7173.0,7188.0
2024-10-23 16:45:00+00:00,2024-10-23 18:30:00+00:00,7.0,1,wr90,,wr90,ny_close,7063.6,7070.6
2024-10-24 12:00:00+00:00,2024-10-24 13:00:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7120.2,7105.2
2024-10-24 16:15:00+00:00,2024-10-24 16:45:00+00:00,-30.0,1,wr90,,wr90,swing_break,7016.4,6986.4
2024-10-25 15:30:00+00:00,2024-10-25 16:00:00+00:00,30.0,-1,ret_short,,ret_short,tp,7168.1,7138.1
2024-10-28 15:45:00+00:00,2024-10-28 16:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6784.0,6799.0
2024-10-29 13:45:00+00:00,2024-10-29 14:30:00+00:00,-15.0,1,long_retrace,,long_ret,sl,6752.1,6737.1
2024-10-29 15:30:00+00:00,2024-10-29 15:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6683.2,6698.2
2024-10-29 15:45:00+00:00,2024-10-29 18:30:00+00:00,9.800000000000182,1,wr90,,wr90,ny_close,6703.4,6713.2
2024-10-30 14:00:00+00:00,2024-10-30 14:15:00+00:00,-15.0,1,long_retrace,,long_ret,sl,6817.1,6802.1
2024-11-01 14:45:00+00:00,2024-11-01 15:00:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7020.0,7005.0
2024-11-04 14:30:00+00:00,2024-11-04 14:45:00+00:00,30.0,-1,ret_short,,ret_short,tp,7135.7,7105.7
2024-11-04 15:00:00+00:00,2024-11-04 15:30:00+00:00,-15.0,1,ret,,ret,sl,7089.9,7074.9
2024-11-06 10:30:00+00:00,2024-11-06 12:15:00+00:00,30.0,-1,ret_short,,ret_short,tp,7093.1,7063.1
2024-11-06 13:45:00+00:00,2024-11-06 16:15:00+00:00,206.69999999999985,1,wr90,,wr90,structure_change,6990.6,7197.3
2024-11-06 16:15:00+00:00,2024-11-06 16:30:00+00:00,30.0,-1,ret_short,,ret_short,tp,7197.3,7167.3
2024-11-07 12:00:00+00:00,2024-11-07 18:45:00+00:00,157.60000000000036,1,wr90,,wr90,structure_change,7075.4,7233.0
2024-11-08 15:30:00+00:00,2024-11-08 16:00:00+00:00,30.0,-1,ret_short,,ret_short,tp,7025.7,6995.7
2024-11-12 16:15:00+00:00,2024-11-12 18:45:00+00:00,-30.0,1,wr90,,wr90,swing_break,6831.1,6801.1
2024-11-13 14:15:00+00:00,2024-11-13 14:30:00+00:00,-15.0,1,ret,,ret,sl,6751.6,6736.6
2024-11-13 15:15:00+00:00,2024-11-13 18:00:00+00:00,105.19999999999982,1,wr90,,wr90,structure_change,6750.0,6855.2
2024-11-15 15:45:00+00:00,2024-11-15 16:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6823.8,6838.8
2024-11-15 16:00:00+00:00,2024-11-15 16:30:00+00:00,30.0,-1,ret_short,,ret_short,tp,6840.1,6810.1
2024-11-18 08:45:00+00:00,2024-11-18 09:00:00+00:00,-15.0,1,long_retrace,,long_ret,sl,6693.1,6678.1
2024-11-19 15:32:00+00:00,2024-11-19 17:02:00+00:00,-30.799999999999272,-1,short_impulse,,si,timeout,,
2024-11-20 15:30:00+00:00,2024-11-20 17:30:00+00:00,-30.0,1,wr90,,wr90,swing_break,6926.4,6896.4
2024-11-21 14:36:00+00:00,2024-11-21 16:06:00+00:00,-33.600000000000364,-1,short_impulse,,si,timeout,,
2024-11-21 16:29:00+00:00,2024-11-21 17:59:00+00:00,31.100000000000364,-1,short_impulse,,si,timeout,,
2024-11-22 09:15:00+00:00,2024-11-22 10:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7020.1,7035.1
2024-11-22 14:00:00+00:00,2024-11-22 14:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7006.6,7021.6
2024-11-22 14:30:00+00:00,2024-11-22 14:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7037.3,7052.3
2024-11-22 15:00:00+00:00,2024-11-22 15:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7075.7,7090.7
2024-11-22 16:00:00+00:00,2024-11-22 17:00:00+00:00,30.0,1,ret,,ret,tp,7066.0,7096.0
2024-11-25 13:56:00+00:00,2024-11-25 15:26:00+00:00,108.89999999999964,-1,short_impulse,,si,timeout,,
2024-11-25 16:30:00+00:00,2024-11-25 16:45:00+00:00,-30.0,1,wr90,,wr90,swing_break,6944.4,6914.4
2024-11-26 14:46:00+00:00,2024-11-26 16:16:00+00:00,22.899999999999636,-1,short_impulse,,si,timeout,,
2024-11-29 16:30:00+00:00,2024-11-29 16:45:00+00:00,-15.0,1,ret,,ret,sl,6894.5,6879.5
2024-12-02 15:15:00+00:00,2024-12-02 15:30:00+00:00,30.0,-1,ret_short,,ret_short,tp,6861.5,6831.5
2024-12-02 17:30:00+00:00,2024-12-02 19:30:00+00:00,9.800000000000182,1,wr90,,wr90,ny_close,6789.8,6799.6
2024-12-05 11:41:00+00:00,2024-12-05 13:11:00+00:00,-39.80000000000018,-1,short_impulse,,si,timeout,,
2024-12-05 15:45:00+00:00,2024-12-05 16:15:00+00:00,30.0,-1,ret_short,,ret_short,tp,6863.5,6833.5
2024-12-05 16:30:00+00:00,2024-12-05 16:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,6826.0,6841.0
2024-12-11 15:30:00+00:00,2024-12-11 15:45:00+00:00,30.0,1,ret,,ret,tp,6888.9,6918.9
2024-12-12 16:30:00+00:00,2024-12-12 17:30:00+00:00,72.59999999999945,1,wr90,,wr90,structure_change,6924.8,6997.4
2024-12-18 14:45:00+00:00,2024-12-18 15:45:00+00:00,30.0,1,ret,,ret,tp,7028.6,7058.6
2024-12-30 16:30:00+00:00,2024-12-30 17:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7099.4,7114.4
2025-01-06 16:00:00+00:00,2025-01-06 16:15:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7390.5,7375.5
2025-01-10 09:15:00+00:00,2025-01-10 09:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7490.5,7505.5
2025-01-10 12:00:00+00:00,2025-01-10 12:15:00+00:00,-15.0,1,ret,,ret,sl,7577.3,7562.3
2025-01-10 12:45:00+00:00,2025-01-10 13:15:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7599.7,7614.7
2025-01-10 14:15:00+00:00,2025-01-10 14:30:00+00:00,30.0,-1,ret_short,,ret_short,tp,7703.4,7673.4
2025-01-10 14:30:00+00:00,2025-01-10 15:00:00+00:00,-15.0,1,ret,,ret,sl,7642.2,7627.2
2025-01-10 16:30:00+00:00,2025-01-10 19:30:00+00:00,75.40000000000055,1,wr90,,wr90,ny_close,7535.2,7610.6
2025-01-13 14:15:00+00:00,2025-01-13 15:15:00+00:00,30.0,1,long_retrace,,long_ret,tp,7685.3,7715.3
2025-01-13 15:15:00+00:00,2025-01-13 15:45:00+00:00,30.0,1,long_retrace,,long_ret,tp,7711.5,7741.5
2025-01-13 15:45:00+00:00,2025-01-13 16:00:00+00:00,30.0,1,long_retrace,,long_ret,tp,7744.0,7774.0
2025-01-13 16:15:00+00:00,2025-01-13 17:00:00+00:00,30.0,1,ret,,ret,tp,7761.3,7791.3
2025-01-13 17:45:00+00:00,2025-01-13 18:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7779.9,7794.9
2025-01-14 14:09:00+00:00,2025-01-14 15:39:00+00:00,10.399999999999636,-1,short_impulse,,si,timeout,,
