eh,tpx,slx,rr,pt,nt,pnl,wr,dd
360,0.5,0.4,1.25,0.45,166,372.95472740594187,42.168674698795186,-352.31064091835106
360,0.55,0.3,1.8333333333333335,0.55,81,370.17837207073217,51.85185185185185,-313.28323796894574
480,0.7,0.15,4.666666666666667,0.4,80,370.0369024939746,32.5,-182.13796650387758
480,0.55,0.25,2.2,0.55,105,368.50110662397174,39.04761904761905,-300.7136101129581
480,0.65,0.4,1.625,0.45,116,367.603404383864,44.827586206896555,-418.3598967416665
360,0.5,0.4,1.25,0.5,142,366.2537505092282,44.36619718309859,-345.34911206074594
480,0.55,0.3,1.8333333333333335,0.5,116,363.7141814915617,43.96551724137931,-496.4467152212874
480,0.45,0.3,1.5,0.55,139,361.458044565778,43.16546762589928,-436.4202035711228
240,0.5,0.4,1.25,0.55,49,357.3439179242773,51.02040816326531,-127.75132454439427
240,0.6,0.25,2.4,0.55,30,356.75760393367545,53.333333333333336,-139.97716162978213
240,0.65,0.4,1.625,0.45,40,349.69138197216625,40.0,-204.74854892371332
240,0.45,0.2,2.25,0.5,75,349.4332385659759,42.66666666666667,-216.76326650216788
480,0.45,0.15,3.0,0.45,188,345.7474403786591,26.595744680851062,-360.8150601008824
480,0.6,0.25,2.4,0.45,136,344.1062344262232,42.64705882352941,-519.3656959983709
480,0.65,0.35,1.8571428571428574,0.55,78,343.6809511286606,44.871794871794876,-255.62111285411538
480,0.6,0.2,2.9999999999999996,0.5,94,343.365028871729,38.297872340425535,-313.53002132031406
480,0.7,0.15,4.666666666666667,0.45,64,343.03851950956596,34.375,-156.65424963485384
480,0.6,0.4,1.4999999999999998,0.55,85,342.2586766331142,49.411764705882355,-303.0882339470545
360,0.45,0.15,3.0,0.5,117,340.9534565226263,34.18803418803419,-280.60660811998696
480,0.7,0.4,1.7499999999999998,0.5,74,327.2150782153858,48.64864864864865,-197.22099380697728
360,0.6,0.3,2.0,0.55,62,325.290984748583,51.61290322580645,-372.9385501958118
240,0.55,0.35,1.5714285714285716,0.4,80,322.42707989201426,47.5,-213.25359090385564
240,0.5,0.2,2.5,0.45,75,322.25256961787045,44.0,-212.34564799835243
240,0.55,0.25,2.2,0.55,41,321.78897599125185,51.21951219512195,-117.01054223182246
240,0.55,0.2,2.75,0.45,45,319.9775408655755,48.888888888888886,-140.74329149698906
360,0.6,0.35,1.7142857142857144,0.55,64,318.63854307464544,48.4375,-349.34395503147107
360,0.5,0.4,1.25,0.55,121,317.4287033575374,44.62809917355372,-182.30177860324693
480,0.5,0.25,2.0,0.5,161,315.746688046655,40.37267080745342,-459.53020951395365
360,0.5,0.2,2.5,0.5,112,312.5852785902939,40.17857142857143,-270.03413105608706
360,0.7,0.35,2.0,0.45,61,310.9787520790451,52.459016393442624,-297.40179235315554
240,0.5,0.3,1.6666666666666667,0.5,61,310.81635156669427,47.540983606557376,-228.61217548869763
240,0.5,0.25,2.0,0.4,102,303.27719425928535,42.15686274509804,-368.5318620198559
360,0.75,0.35,2.142857142857143,0.4,40,301.0010840201908,52.5,-171.67078441898457
240,0.5,0.2,2.5,0.4,100,299.51297657320083,43.0,-251.615905910513
480,0.5,0.2,2.5,0.4,212,298.99898742764617,32.075471698113205,-466.8059012027429
480,0.55,0.25,2.2,0.5,135,298.63708389976455,35.55555555555556,-436.29029117898426
480,0.75,0.3,2.5,0.4,59,294.4217211324217,38.983050847457626,-213.42675090496505
240,0.65,0.25,2.6,0.45,40,294.17152751610456,42.5,-124.6148410161577
360,0.45,0.4,1.125,0.45,186,290.6185350758501,45.69892473118279,-294.0548527320652
240,0.5,0.2,2.5,0.5,55,288.92153917088626,47.27272727272727,-198.33741216394856
240,0.45,0.3,1.5,0.45,99,288.83774998107765,49.494949494949495,-322.31497536021016
240,0.65,0.35,1.8571428571428574,0.4,50,288.6166475716391,38.0,-173.36678963539498
480,0.55,0.35,1.5714285714285716,0.5,150,287.57382537177136,43.333333333333336,-576.8160999509264
360,0.5,0.15,3.3333333333333335,0.45,134,286.55391900033965,34.32835820895522,-267.15859582618896
360,0.75,0.35,2.142857142857143,0.45,34,285.5660859001664,55.88235294117647,-160.29078441898446
360,0.45,0.15,3.0,0.4,183,281.17018600567553,31.693989071038253,-260.73265797324393
480,0.6,0.3,2.0,0.55,73,279.14299519933684,42.465753424657535,-377.946799104775
240,0.55,0.2,2.75,0.5,40,278.4917616618309,47.5,-143.54329149698924
480,0.7,0.25,2.8,0.5,69,276.91667784448873,40.57971014492754,-351.8370957601642
240,0.65,0.35,1.8571428571428574,0.45,42,274.6965744688773,38.095238095238095,-185.46686273815703
240,0.6,0.2,2.9999999999999996,0.5,40,274.17039382810435,50.0,-110.48286465191359
240,0.55,0.35,1.5714285714285716,0.45,68,273.2840241994736,45.588235294117645,-196.36874388461092
480,0.5,0.3,1.6666666666666667,0.55,129,272.1813526424562,43.41085271317829,-295.5247729843586
360,0.45,0.15,3.0,0.45,144,270.0800427826284,32.63888888888889,-265.67652506918057
360,0.5,0.15,3.3333333333333335,0.4,165,265.45385957764574,30.909090909090907,-294.36095926424514
240,0.45,0.35,1.2857142857142858,0.45,108,264.09249851580626,54.629629629629626,-304.99280912670883
480,0.65,0.4,1.625,0.55,78,258.35019395086465,43.58974358974359,-372.38152093243616
360,0.45,0.2,2.25,0.5,144,255.41350540278836,38.88888888888889,-184.5795048694481
480,0.7,0.2,3.4999999999999996,0.55,46,249.47363883766957,34.78260869565217,-219.05770753479965
240,0.7,0.4,1.7499999999999998,0.4,30,248.83571330423,53.333333333333336,-73.40160770930652
