side,signal_ts,entry_time,entry_price,stop,target,timeout,tp,sl,horizon,target_updates,stop_updates,exit_time,exit_price,exit_reason,pnl,win,minute_in_15m,slot_rip_pts,prev_15m_body,month,hour_lon
-1,2025-12-01 16:09:00+00:00,2025-12-01 16:10:00+00:00,4237.77,4272.77,4187.77,2025-12-01 17:10:00+00:00,50.0,35.0,60,0,0,2025-12-01 17:10:00+00:00,4230.77,timeout,7.0,True,9,5.380000000001019,0.36999999999898137,2025-12,16
-1,2025-12-02 11:54:00+00:00,2025-12-02 11:55:00+00:00,4203.72,4238.72,4153.72,2025-12-02 12:55:00+00:00,50.0,35.0,60,0,0,2025-12-02 12:55:00+00:00,4208.41,timeout,-4.6899999999996,False,9,5.670000000000073,8.6299999999992,2025-12,11
-1,2025-12-02 14:46:00+00:00,2025-12-02 14:47:00+00:00,4220.58,4255.58,4170.58,2025-12-02 15:54:00+00:00,50.0,35.0,60,7,0,2025-12-02 15:54:00+00:00,4171.05,timeout,49.529999999999745,True,1,5.75,2.3599999999996726,2025-12,14
-1,2025-12-02 16:35:00+00:00,2025-12-02 16:36:00+00:00,4184.65,4219.65,4134.65,2025-12-02 17:39:00+00:00,50.0,35.0,60,4,0,2025-12-02 17:39:00+00:00,4193.9,timeout,-9.25,False,5,6.270000000000437,4.760000000000218,2025-12,16
-1,2025-12-03 13:52:00+00:00,2025-12-03 13:53:00+00:00,4232.13,4267.13,4182.13,2025-12-03 14:54:00+00:00,50.0,35.0,60,2,0,2025-12-03 14:54:00+00:00,4209.23,timeout,22.900000000000546,True,7,9.829999999999927,1.5799999999999272,2025-12,13
-1,2025-12-03 15:34:00+00:00,2025-12-03 15:35:00+00:00,4228.92,4263.92,4177.530000000001,2025-12-03 16:37:00+00:00,50.0,35.0,60,3,0,2025-12-03 16:37:00+00:00,4222.85,timeout,6.069999999999709,True,4,6.849999999999454,8.63000000000011,2025-12,15
-1,2025-12-04 11:09:00+00:00,2025-12-04 11:10:00+00:00,4205.24,4240.24,4155.24,2025-12-04 12:10:00+00:00,50.0,35.0,60,0,0,2025-12-04 12:10:00+00:00,4198.71,timeout,6.529999999999745,True,9,7.100000000000364,1.3500000000003638,2025-12,11
-1,2025-12-04 14:09:00+00:00,2025-12-04 14:10:00+00:00,4205.87,4240.87,4155.87,2025-12-04 15:10:00+00:00,50.0,35.0,60,0,0,2025-12-04 15:10:00+00:00,4201.83,timeout,4.039999999999964,True,9,6.639999999999418,0.6400000000012369,2025-12,14
-1,2025-12-04 16:17:00+00:00,2025-12-04 16:18:00+00:00,4217.89,4252.89,4167.38,2025-12-04 17:24:00+00:00,50.0,35.0,60,6,0,2025-12-04 17:24:00+00:00,4212.88,timeout,5.010000000000218,True,2,6.599999999999454,6.049999999999272,2025-12,16
-1,2025-12-05 15:20:00+00:00,2025-12-05 15:21:00+00:00,4244.19,4279.19,4194.19,2025-12-05 16:24:00+00:00,50.0,35.0,60,4,0,2025-12-05 16:24:00+00:00,4209.68,timeout,34.50999999999931,True,5,5.3700000000008,4.630000000000109,2025-12,15
