
======================================================================
  GOLD v16 COMBINED (merged portfolio)
  Period: 2025-06-01 → 2026-06-25
======================================================================
  Total Trades: 912
  Net PnL     : +6906.64 pts
  Win Rate    : 53.0%
  Avg/trade   : +7.57
  Max DD      : -262.18

  By source:
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    pattern             :  332 trades  PnL=+3345.5  WR=55%  avg=+10.08
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By leg:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By matched_pattern:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23

  LONG total :  402  PnL=+3042.7  WR=54%
  SHORT total:  510  PnL=+3863.9  WR=52%

────────────────────────────────────────────────────────────
  ALL TRADES (HKT)
────────────────────────────────────────────────────────────
  entry_hkt exit_hkt  dir entry_price exit_price     pnl exit_reason            pattern
01-29 09:15    09:24   up        None       None  33.860                uptrend_retrace
01-29 11:05    11:35   up        None       None  21.420                      energetic
01-29 15:29    15:44 down        None       None -11.330              downtrend_retrace
01-29 16:06    16:24 down        None       None  -2.870              downtrend_retrace
01-29 16:47    17:32 down        None       None -18.400                      energetic
01-29 19:49    20:39 down        None       None  -5.540                  v16_dip_short
01-29 20:49    21:39 down        None       None  16.210                  v16_dip_short
01-29 22:08    22:54 down        None       None  18.310                  v16_dip_short
01-30 00:50    00:52 down        None       None  35.000                  v16_dip_short
01-30 01:18    01:26 down        None       None -35.000                  v16_dip_short
01-30 01:38    01:56 down        None       None  38.150                  v16_dip_short
01-30 02:32    03:11 down        None       None  35.000                  v16_dip_short
01-30 04:48    04:57 down        None       None -35.000                  v16_dip_short
01-30 09:12    09:14   up        None       None -25.000                      energetic
01-30 09:17    09:23   up        None       None  20.000                uptrend_retrace
01-30 09:58    10:00   up        None       None -25.000                      energetic
01-30 10:25    10:25   up        None       None  20.000                uptrend_retrace
01-30 10:32    10:36   up        None       None  42.500                uptrend_retrace
01-30 16:38    17:08   up        None       None -15.000                uptrend_retrace
01-30 17:16    17:28   up        None       None -15.000                uptrend_retrace
01-30 17:32    17:38   up        None       None -15.000                uptrend_retrace
01-30 17:46    17:48   up        None       None  15.430                      energetic
01-30 17:48    17:49   up        None       None -15.000                uptrend_retrace
01-30 17:50    17:50   up        None       None -15.000                uptrend_retrace
01-30 17:53    17:57   up        None       None  22.860                uptrend_retrace
01-30 17:59    18:00   up        None       None  24.640                uptrend_retrace
01-30 18:36    18:57 down        None       None -35.000                  v16_dip_short
01-30 19:34    19:48 down        None       None  35.000                  v16_dip_short
01-30 19:54    20:46 down        None       None  35.000                  v16_dip_short
01-30 21:03    21:18 down        None       None  33.020                      energetic
01-30 21:20    21:23 down        None       None  30.000                      energetic
01-30 21:25    21:31   up        None       None -15.000                uptrend_retrace
01-30 21:34    21:49 down        None       None  35.000                  v16_dip_short
