fast_h,slow_h,ob,cool,os,rec,slk,exec_h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
15,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,2792,780,27.936962750716333,24.912830649679904,16.608553766453273,780
15,60,-10,-40,-70,-50,5,240,0.35,0.15,2.3333333333333335,4571,770,16.84532924961715,28.799510815962584,12.342647492555397,770
15,90,-10,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,2682,770,28.70991797166294,24.98166425050772,16.654442833671816,770
15,60,-20,-50,-70,-50,10,360,0.3,0.2,1.4999999999999998,2670,763,28.57677902621723,24.530056964612537,16.353371309741693,763
15,90,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,2720,754,27.72058823529412,24.891714713648444,16.594476475765635,754
15,60,-10,-50,-70,-50,10,360,0.3,0.2,1.4999999999999998,2579,742,28.77084141139977,24.47714186852383,16.318094579015888,742
15,60,-20,-50,-70,-50,5,360,0.3,0.2,1.4999999999999998,2541,716,28.177882723337266,24.45166805889646,16.301112039264307,716
15,60,-20,-40,-70,-50,10,240,0.4,0.2,2.0,4807,712,14.811732889536094,33.18682714380723,16.593413571903614,712
15,60,-20,-40,-70,-50,5,240,0.4,0.2,2.0,4715,704,14.931071049840932,33.086103227262434,16.543051613631217,704
15,60,-10,-50,-70,-50,5,360,0.3,0.2,1.4999999999999998,2468,701,28.40356564019449,24.346668385853814,16.231112257235882,701
15,90,-20,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,2752,700,25.436046511627907,29.187067989819862,16.67832456561135,700
15,90,-20,-40,-70,-50,5,360,0.3,0.15,2.0,2752,694,25.218023255813954,25.017486848417025,12.508743424208513,694
15,60,-10,-40,-70,-50,10,240,0.4,0.2,2.0,4635,689,14.865156418554475,33.08808366772096,16.54404183386048,689
15,90,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,2792,688,24.641833810888254,29.064969091293218,16.608553766453273,688
15,60,-10,-40,-70,-50,5,240,0.4,0.2,2.0,4571,686,15.007656967840735,32.91372664681439,16.456863323407195,686
15,90,-10,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,2682,681,25.39149888143177,29.145274958925675,16.654442833671816,681
15,90,-20,-40,-70,-50,10,360,0.3,0.15,2.0,2792,674,24.140401146131804,24.912830649679904,12.456415324839952,674
15,60,-20,-50,-70,-50,10,360,0.35,0.2,1.7499999999999998,2670,673,25.205992509363295,28.618399792047963,16.353371309741693,673
15,90,-10,-40,-70,-50,5,360,0.3,0.15,2.0,2682,671,25.018642803877704,24.98166425050772,12.49083212525386,671
15,90,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,2720,669,24.595588235294116,29.040333832589855,16.594476475765635,669
15,60,-20,-50,-70,-50,10,360,0.3,0.15,2.0,2670,664,24.868913857677903,24.530056964612537,12.265028482306269,664
15,60,-10,-50,-70,-50,10,360,0.35,0.2,1.7499999999999998,2579,652,25.281116711903838,28.5566655132778,16.318094579015888,652
15,90,-10,-40,-70,-50,10,360,0.3,0.15,2.0,2720,651,23.933823529411764,24.891714713648444,12.445857356824222,651
30,60,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,2343,649,27.699530516431924,24.526894616116547,16.351263077411033,649
15,60,-20,-40,-70,-50,10,240,0.4,0.15,2.666666666666667,4807,648,13.480341169128355,33.18682714380723,12.445060178927708,648
15,60,-10,-50,-70,-50,10,360,0.3,0.15,2.0,2579,645,25.009693679720822,24.47714186852383,12.238570934261915,645
