entry,exit,pnl,reason,type,side,entry_price,exit_price
2024-11-07 15:15:00+00:00,2024-11-07 15:30:00+00:00,30.0,tp,ret,1,7075.9,7105.9
2024-11-12 14:45:00+00:00,2024-11-12 15:30:00+00:00,-15.0,sl,ret,1,6866.5,6851.5
2024-11-12 15:45:00+00:00,2024-11-12 16:00:00+00:00,-15.0,sl,ret,1,6802.8,6787.8
2024-11-12 16:45:00+00:00,2024-11-12 17:30:00+00:00,-15.0,sl,ret,1,6824.4,6809.4
2024-11-13 17:00:00+00:00,2024-11-13 17:30:00+00:00,30.0,tp,ret,1,6815.0,6845.0
2024-11-14 16:15:00+00:00,2024-11-14 16:30:00+00:00,-15.0,sl,ret,1,6868.7,6853.7
2024-11-15 09:45:00+00:00,2024-11-15 10:15:00+00:00,-15.0,sl,ret,1,6773.8,6758.8
2024-11-15 15:30:00+00:00,2024-11-15 15:45:00+00:00,-15.0,sl,ret,1,6792.2,6777.2
2024-11-15 16:30:00+00:00,2024-11-15 16:45:00+00:00,-15.0,sl,ret,1,6817.1,6802.1
2024-11-25 15:00:00+00:00,2024-11-25 15:30:00+00:00,-15.0,sl,ret,1,6967.3,6952.3
2024-11-25 17:00:00+00:00,2024-11-25 17:15:00+00:00,30.0,tp,ret,1,6902.5,6932.5
2024-11-26 15:15:00+00:00,2024-11-26 15:45:00+00:00,30.0,tp,ret,1,6934.4,6964.4
2024-11-26 16:00:00+00:00,2024-11-26 16:30:00+00:00,-15.0,sl,ret,1,6950.4,6935.4
2024-11-27 15:15:00+00:00,2024-11-27 15:30:00+00:00,-15.0,sl,ret,1,6880.8,6865.8
2024-11-27 16:30:00+00:00,2024-11-27 17:00:00+00:00,-15.0,sl,ret,1,6874.6,6859.6
2024-11-29 08:45:00+00:00,2024-11-29 10:00:00+00:00,-15.0,sl,ret,1,6850.4,6835.4
2024-11-29 16:30:00+00:00,2024-11-29 16:45:00+00:00,-15.0,sl,ret,1,6917.5,6902.5
2024-12-02 15:45:00+00:00,2024-12-02 16:00:00+00:00,30.0,tp,ret,1,6821.3,6851.3
2024-12-04 15:45:00+00:00,2024-12-04 16:30:00+00:00,-15.0,sl,ret,1,6953.4,6938.4
2024-12-05 11:45:00+00:00,2024-12-05 12:00:00+00:00,-15.0,sl,ret,1,6817.0,6802.0
2024-12-05 14:15:00+00:00,2024-12-05 15:45:00+00:00,-15.0,sl,ret,1,6866.5,6851.5
2024-12-05 16:15:00+00:00,2024-12-05 16:30:00+00:00,-15.0,sl,ret,1,6846.5,6831.5
2024-12-11 15:45:00+00:00,2024-12-11 16:00:00+00:00,30.0,tp,ret,1,6889.9,6919.9
2024-12-12 14:15:00+00:00,2024-12-12 14:45:00+00:00,-15.0,sl,ret,1,6961.7,6946.7
2024-12-20 14:30:00+00:00,2024-12-20 14:45:00+00:00,-15.0,sl,ret,1,6873.9,6858.9
2025-01-13 16:30:00+00:00,2025-01-13 17:00:00+00:00,30.0,tp,ret,1,7757.7,7787.7
2025-01-14 15:00:00+00:00,2025-01-14 15:15:00+00:00,-15.0,sl,ret,1,7668.2,7653.2
2025-01-15 15:30:00+00:00,2025-01-15 15:45:00+00:00,-15.0,sl,ret,1,7785.8,7770.8
2025-01-15 16:00:00+00:00,2025-01-15 16:15:00+00:00,30.0,tp,ret,1,7772.0,7802.0
2025-01-15 16:45:00+00:00,2025-01-15 17:00:00+00:00,30.0,tp,ret,1,7798.7,7828.7
2025-01-15 17:30:00+00:00,2025-01-15 18:00:00+00:00,30.0,tp,ret,1,7829.6,7859.6
2025-01-16 14:30:00+00:00,2025-01-16 14:45:00+00:00,-15.0,sl,ret,1,7858.0,7843.0
2025-01-16 15:30:00+00:00,2025-01-16 15:45:00+00:00,-15.0,sl,ret,1,7793.2,7778.2
2025-01-17 09:00:00+00:00,2025-01-17 09:15:00+00:00,-15.0,sl,ret,1,7840.7,7825.7
2025-01-17 13:15:00+00:00,2025-01-17 14:00:00+00:00,30.0,tp,ret,1,7746.1,7776.1
2025-01-17 15:15:00+00:00,2025-01-17 15:30:00+00:00,-15.0,sl,ret,1,7759.1,7744.1
2025-01-20 13:45:00+00:00,2025-01-20 14:00:00+00:00,-15.0,sl,ret,1,7654.7,7639.7
2025-01-20 15:00:00+00:00,2025-01-20 15:15:00+00:00,-15.0,sl,ret,1,7623.5,7608.5
2025-01-20 17:15:00+00:00,2025-01-20 17:30:00+00:00,-15.0,sl,ret,1,7640.3,7625.3
2025-01-21 17:30:00+00:00,2025-01-21 17:45:00+00:00,-15.0,sl,ret,1,7598.7,7583.7
2025-01-24 15:00:00+00:00,2025-01-24 15:45:00+00:00,30.0,tp,ret,1,7427.0,7457.0
2025-01-24 16:45:00+00:00,2025-01-24 17:00:00+00:00,-15.0,sl,ret,1,7430.1,7415.1
2025-01-27 17:45:00+00:00,2025-01-27 18:30:00+00:00,30.0,tp,ret,1,7251.8,7281.8
2025-01-28 14:30:00+00:00,2025-01-28 14:45:00+00:00,-15.0,sl,ret,1,7369.3,7354.3
2025-01-29 17:30:00+00:00,2025-01-29 18:15:00+00:00,-15.0,sl,ret,1,7247.1,7232.1
2025-01-30 16:45:00+00:00,2025-01-30 17:00:00+00:00,-15.0,sl,ret,1,7277.7,7262.7
2025-01-31 16:00:00+00:00,2025-01-31 16:15:00+00:00,30.0,tp,ret,1,7236.0,7266.0
2025-01-31 17:15:00+00:00,2025-01-31 17:30:00+00:00,-15.0,sl,ret,1,7214.8,7199.8
2025-02-03 10:45:00+00:00,2025-02-03 11:00:00+00:00,30.0,tp,ret,1,7356.4,7386.4
2025-02-03 16:45:00+00:00,2025-02-03 17:15:00+00:00,30.0,tp,ret,1,7216.8,7246.8
2025-02-04 16:00:00+00:00,2025-02-04 16:15:00+00:00,-15.0,sl,ret,1,7243.9,7228.9
2025-02-04 17:30:00+00:00,2025-02-04 18:30:00+00:00,30.0,tp,ret,1,7234.2,7264.2
2025-02-06 15:45:00+00:00,2025-02-06 16:00:00+00:00,30.0,tp,ret,1,7093.4,7123.4
2025-02-06 16:15:00+00:00,2025-02-06 16:45:00+00:00,-15.0,sl,ret,1,7107.9,7092.9
2025-02-13 15:30:00+00:00,2025-02-13 16:30:00+00:00,30.0,tp,ret,1,7093.9,7123.9
2025-02-14 15:30:00+00:00,2025-02-14 16:15:00+00:00,-15.0,sl,ret,1,7093.5,7078.5
2025-03-06 15:30:00+00:00,2025-03-06 16:00:00+00:00,-15.0,sl,ret,1,6576.8,6561.8
2025-03-06 17:45:00+00:00,2025-03-06 18:15:00+00:00,30.0,tp,ret,1,6591.7,6621.7
2025-03-11 15:45:00+00:00,2025-03-11 16:45:00+00:00,-15.0,sl,ret,1,6643.3,6628.3
2025-03-31 08:30:00+00:00,2025-03-31 09:45:00+00:00,-15.0,sl,ret,1,6963.4,6948.4
2025-04-03 13:15:00+00:00,2025-04-03 13:30:00+00:00,30.0,tp,ret,1,6628.7,6658.7
2025-04-03 14:00:00+00:00,2025-04-03 14:30:00+00:00,30.0,tp,ret,1,6633.4,6663.4
2025-04-03 14:45:00+00:00,2025-04-03 15:15:00+00:00,-15.0,sl,ret,1,6604.8,6589.8
2025-04-04 11:30:00+00:00,2025-04-04 11:45:00+00:00,30.0,tp,ret,1,6090.9,6120.9
2025-04-04 12:45:00+00:00,2025-04-04 13:00:00+00:00,30.0,tp,ret,1,6174.9,6204.9
2025-04-04 15:30:00+00:00,2025-04-04 15:45:00+00:00,-15.0,sl,ret,1,6188.8,6173.8
2025-04-04 16:00:00+00:00,2025-04-04 16:15:00+00:00,30.0,tp,ret,1,6149.2,6179.2
2025-04-07 07:30:00+00:00,2025-04-07 07:45:00+00:00,-15.0,sl,ret,1,5909.6,5894.6
2025-04-07 08:45:00+00:00,2025-04-07 09:30:00+00:00,-15.0,sl,ret,1,5930.6,5915.6
2025-04-07 13:15:00+00:00,2025-04-07 13:30:00+00:00,-15.0,sl,ret,1,6039.7,6024.7
2025-04-07 14:30:00+00:00,2025-04-07 14:45:00+00:00,30.0,tp,ret,1,6115.0,6145.0
2025-04-07 16:00:00+00:00,2025-04-07 16:30:00+00:00,-15.0,sl,ret,1,6055.2,6040.2
2025-04-07 16:45:00+00:00,2025-04-07 17:00:00+00:00,30.0,tp,ret,1,6064.7,6094.7
2025-04-08 07:15:00+00:00,2025-04-08 07:30:00+00:00,-15.0,sl,ret,1,6100.6,6085.6
2025-04-08 15:15:00+00:00,2025-04-08 15:45:00+00:00,30.0,tp,ret,1,6038.1,6068.1
2025-04-08 16:30:00+00:00,2025-04-08 16:45:00+00:00,-15.0,sl,ret,1,6060.2,6045.2
2025-04-09 09:30:00+00:00,2025-04-09 09:45:00+00:00,-15.0,sl,ret,1,5734.9,5719.9
2025-04-09 14:15:00+00:00,2025-04-09 14:30:00+00:00,-15.0,sl,ret,1,5672.8,5657.8
2025-04-09 16:45:00+00:00,2025-04-09 17:00:00+00:00,-15.0,sl,ret,1,5695.4,5680.4
2025-04-10 07:15:00+00:00,2025-04-10 07:30:00+00:00,-15.0,sl,ret,1,6119.1,6104.1
2025-04-10 13:30:00+00:00,2025-04-10 13:45:00+00:00,-15.0,sl,ret,1,5961.9,5946.9
2025-04-10 14:45:00+00:00,2025-04-10 15:00:00+00:00,-15.0,sl,ret,1,5920.0,5905.0
2025-04-10 16:00:00+00:00,2025-04-10 16:15:00+00:00,-15.0,sl,ret,1,5929.0,5914.0
2025-04-11 07:00:00+00:00,2025-04-11 07:15:00+00:00,-15.0,sl,ret,1,6036.1,6021.1
2025-04-11 09:30:00+00:00,2025-04-11 09:45:00+00:00,30.0,tp,ret,1,5952.9,5982.9
