h,dx,rx,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
360,0.3,0.15,0.25,0.1,2.5,27603,5837,21.146252218961706,23.309489756798573,9.32379590271943,5837
360,0.3,0.15,0.4,0.15,2.666666666666667,27603,5835,21.13900662971416,37.29518361087772,13.985693854079141,5835
240,0.3,0.2,0.25,0.15,1.6666666666666667,21600,5817,26.930555555555557,23.417386088325625,14.050431652995373,5817
360,0.3,0.2,0.35,0.2,1.7499999999999998,21600,5775,26.73611111111111,32.78434052365587,18.7339088706605,5775
120,0.3,0.2,0.2,0.15,1.3333333333333335,21600,5763,26.680555555555557,18.7339088706605,14.050431652995373,5763
360,0.3,0.1,0.35,0.1,3.4999999999999996,33002,5678,17.205017877704382,32.70573470106122,9.344495628874636,5678
480,0.3,0.1,0.35,0.1,3.4999999999999996,33002,5659,17.14744560935701,32.70573470106122,9.344495628874636,5659
480,0.3,0.2,0.4,0.2,2.0,21600,5650,26.15740740740741,37.467817741321,18.7339088706605,5650
360,0.3,0.2,0.2,0.12,1.6666666666666667,21600,5625,26.041666666666668,18.7339088706605,11.2403453223963,5625
480,0.3,0.15,0.35,0.12,2.9166666666666665,27603,5579,20.21157120602833,32.633285659517995,11.188555083263315,5579
360,0.3,0.2,0.3,0.15,2.0,21600,5575,25.810185185185187,28.100863305990746,14.050431652995373,5575
360,0.3,0.15,0.35,0.12,2.9166666666666665,27603,5554,20.12100134043401,32.633285659517995,11.188555083263315,5554
240,0.3,0.2,0.3,0.2,1.4999999999999998,21600,5536,25.62962962962963,28.100863305990746,18.7339088706605,5536
120,0.3,0.1,0.25,0.1,2.5,33002,5526,16.744439730925397,23.36123907218659,9.344495628874636,5525
120,0.3,0.15,0.25,0.15,1.6666666666666667,27603,5520,19.997826323225738,23.309489756798573,13.985693854079141,5520
240,0.3,0.15,0.35,0.15,2.3333333333333335,27603,5518,19.99058073397819,32.633285659517995,13.985693854079141,5518
480,0.3,0.2,0.3,0.15,2.0,21600,5511,25.513888888888893,28.100863305990746,14.050431652995373,5511
480,0.3,0.15,0.2,0.1,2.0,27603,5444,19.722493931819006,18.64759180543886,9.32379590271943,5444
240,0.3,0.1,0.4,0.15,2.666666666666667,33002,5439,16.480819344282168,37.377982515498545,14.01674344331195,5439
360,0.3,0.15,0.3,0.1,2.9999999999999996,27603,5371,19.458029924283593,27.971387708158282,9.32379590271943,5371
240,0.3,0.1,0.35,0.1,3.4999999999999996,33002,5338,16.17477728622508,32.70573470106122,9.344495628874636,5338
