signal_ts,side,p_long,p_short,p_pick,pnl,exit_reason,scaled_half,bars_held,win
2026-04-09 13:04:00+00:00,-1,0.28674551844596863,0.580187976360321,0.580187976360321,-14.699999999999818,timeout,False,10,False
2026-04-09 13:10:00+00:00,-1,0.4932076632976532,0.6560997366905212,0.6560997366905212,-4.4399999999996,timeout,False,10,False
2026-04-09 15:19:00+00:00,-1,0.5987167954444885,0.6680762767791748,0.6680762767791748,5.0,trail_stop,True,10,True
2026-04-10 08:47:00+00:00,1,0.6260068416595459,0.3911484479904175,0.6260068416595459,4.710000000000036,timeout,True,10,True
2026-04-10 09:20:00+00:00,1,0.7677087187767029,0.42267322540283203,0.7677087187767029,-5.1599999999998545,timeout,False,10,False
2026-04-10 13:32:00+00:00,-1,0.44304797053337097,0.5999829769134521,0.5999829769134521,5.0,trail_stop,True,3,True
2026-04-10 13:35:00+00:00,-1,0.41719356179237366,0.8032772541046143,0.8032772541046143,0.5199999999995271,timeout,False,10,True
2026-04-10 14:44:00+00:00,1,0.7315297722816467,0.5111945271492004,0.7315297722816467,-7.319999999999709,timeout,False,10,False
2026-04-13 09:09:00+00:00,1,0.7158204317092896,0.5234113335609436,0.7158204317092896,1.1400000000003274,timeout,False,10,True
2026-04-13 09:30:00+00:00,-1,0.4383840262889862,0.7244563102722168,0.7244563102722168,5.0,trail_stop,True,5,True
2026-04-13 13:00:00+00:00,1,0.6385477185249329,0.34852173924446106,0.6385477185249329,5.0,trail_stop,True,5,True
2026-04-13 13:30:00+00:00,-1,0.47204288840293884,0.6186044812202454,0.6186044812202454,5.0,trail_stop,True,6,True
2026-04-13 15:00:00+00:00,1,0.7495326399803162,0.5066189765930176,0.7495326399803162,-3.0900000000001455,timeout,False,10,False
2026-04-13 16:18:00+00:00,1,0.6140206456184387,0.4170398414134979,0.6140206456184387,3.630000000000109,timeout,True,10,True
2026-04-13 16:33:00+00:00,-1,0.5331023931503296,0.61562180519104,0.61562180519104,-6.239999999999782,timeout,False,10,False
2026-04-13 16:42:00+00:00,-1,0.4656417667865753,0.6228779554367065,0.6228779554367065,-4.25,timeout,False,10,False
2026-04-14 10:40:00+00:00,1,0.7604809403419495,0.3362867832183838,0.7604809403419495,3.5999999999994543,timeout,False,10,True
2026-04-14 16:19:00+00:00,-1,0.34409216046333313,0.6317672729492188,0.6317672729492188,5.0,trail_stop,True,3,True
2026-04-14 17:07:00+00:00,1,0.8466041684150696,0.35177701711654663,0.8466041684150696,-4.289999999999964,timeout,False,10,False
2026-04-15 13:35:00+00:00,-1,0.37926021218299866,0.7414804697036743,0.7414804697036743,-6.010000000000218,timeout,False,10,False
