side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,slot_low,slot_high,stop_mode,entry_struct_trend,target_updates,exit_time,exit_price,exit_reason,pnl,win,hold_min
-1,2026-02-02 08:45:00+00:00,2026-02-02 08:47:00+00:00,4644.82,breakout_next_open,4650.65,4627.33,5.829999999999927,17.48999999999978,120,2026-02-02 10:47:00+00:00,4638.46,4650.65,4606.21,4651.5,impulse_bar,-1,0,2026-02-02 08:50:00+00:00,4650.65,stop_loss,-5.829999999999927,False,3.0
-1,2026-02-02 09:00:00+00:00,2026-02-02 09:02:00+00:00,4629.3,breakout_next_open,4644.73,4583.010000000002,15.429999999999382,46.289999999998145,120,2026-02-02 11:02:00+00:00,4632.87,4644.73,4626.85,4652.72,impulse_bar,-1,0,2026-02-02 09:11:00+00:00,4644.73,stop_loss,-15.429999999999382,False,9.0
-1,2026-02-02 09:15:00+00:00,2026-02-02 09:22:00+00:00,4630.4,breakout_next_open,4640.7,4599.499999999999,10.300000000000182,30.900000000000546,120,2026-02-02 11:22:00+00:00,4627.5,4640.7,4603.22,4658.12,impulse_bar,-1,0,2026-02-02 09:23:00+00:00,4640.7,stop_loss,-10.300000000000182,False,1.0
-1,2026-02-02 10:45:00+00:00,2026-02-02 10:49:00+00:00,4674.2,breakout_next_open,4688.16,4632.32,13.960000000000036,41.88000000000011,120,2026-02-02 12:49:00+00:00,4679.3,4688.16,4661.61,4699.51,impulse_bar,-1,0,2026-02-02 10:51:00+00:00,4688.16,stop_loss,-13.960000000000036,False,2.0
-1,2026-02-02 13:15:00+00:00,2026-02-02 13:21:00+00:00,4746.8,breakout_next_open,4796.24,4598.480000000001,49.4399999999996,148.3199999999988,120,2026-02-02 18:00:00+00:00,4743.92,4796.24,4718.0,4804.58,impulse_bar,-1,6,2026-02-02 16:01:00+00:00,4598.480000000001,target_hit,148.3199999999988,True,160.0
-1,2026-02-02 16:00:00+00:00,2026-02-02 16:07:00+00:00,4663.81,breakout_next_open,4678.43,4619.950000000001,14.61999999999989,43.85999999999967,120,2026-02-02 18:07:00+00:00,4656.26,4678.43,4615.96,4678.43,impulse_bar,-1,0,2026-02-02 16:09:00+00:00,4678.43,stop_loss,-14.61999999999989,False,2.0
1,2026-02-03 17:30:00+00:00,2026-02-03 17:32:00+00:00,4956.5,breakout_next_open,4941.66,5001.02,14.840000000000146,44.52000000000044,120,2026-02-03 19:32:00+00:00,4941.66,4953.48,4937.54,4969.79,impulse_bar,1,0,2026-02-03 17:40:00+00:00,4941.66,stop_loss,-14.840000000000146,False,8.0
1,2026-02-03 18:15:00+00:00,2026-02-03 18:19:00+00:00,4939.18,breakout_next_open,4926.05,4978.570000000001,13.13000000000011,39.39000000000033,120,2026-02-03 20:19:00+00:00,4926.05,4933.55,4926.05,4954.22,impulse_bar,1,0,2026-02-03 18:24:00+00:00,4926.05,stop_loss,-13.13000000000011,False,5.0
1,2026-02-03 19:30:00+00:00,2026-02-03 19:32:00+00:00,4924.64,breakout_next_open,4914.49,4955.090000000002,10.150000000000546,30.450000000001637,120,2026-02-03 21:45:00+00:00,4914.49,4923.23,4914.38,4933.84,impulse_bar,1,1,2026-02-03 20:01:00+00:00,4914.49,stop_loss,-10.150000000000546,False,29.0
1,2026-02-03 20:45:00+00:00,2026-02-03 20:47:00+00:00,4952.36,breakout_next_open,4938.0,4995.439999999999,14.359999999999673,43.07999999999902,120,2026-02-03 22:47:00+00:00,4938.0,4944.1,4938.0,4957.25,impulse_bar,1,0,2026-02-03 20:49:00+00:00,4938.0,stop_loss,-14.359999999999673,False,2.0
