entry,exit,pnl,reason,type,side,_leg,_prob,entry_price,exit_price
2026-04-27 15:15:00+00:00,2026-04-27 15:30:00+00:00,-15.0,sl,ret,1,ret,0.8333321213722229,,
2026-04-27 15:30:00+00:00,2026-04-27 15:45:00+00:00,-15.0,sl,ret,1,ret,0.6069675087928772,,
2026-04-27 15:45:00+00:00,2026-04-27 16:45:00+00:00,30.0,tp,ret,1,ret,0.7102333903312683,,
2026-04-28 08:15:00+00:00,2026-04-28 08:30:00+00:00,30.0,tp,ret,1,ret,0.7153759002685547,,
2026-04-28 11:30:00+00:00,2026-04-28 11:45:00+00:00,30.0,tp,ret,1,ret,0.7405512928962708,,
2026-04-28 12:00:00+00:00,2026-04-28 12:15:00+00:00,-15.0,sl,ret,1,ret,0.5710099339485168,,
2026-04-28 12:45:00+00:00,2026-04-28 13:00:00+00:00,30.0,tp,ret,1,ret,0.7619529962539673,,
2026-04-28 13:00:00+00:00,2026-04-28 13:15:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.6991985440254211,,
2026-04-28 14:00:00+00:00,2026-04-28 14:15:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.7322323322296143,,
2026-04-28 14:15:00+00:00,2026-04-28 14:30:00+00:00,30.0,tp,ret,1,ret,0.8071780204772949,,
2026-04-28 14:45:00+00:00,2026-04-28 15:00:00+00:00,30.0,tp,ret,1,ret,0.7975728511810303,,
2026-04-28 15:30:00+00:00,2026-04-28 15:45:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.775877833366394,,
2026-04-28 16:15:00+00:00,2026-04-28 16:30:00+00:00,-15.0,sl,ret,1,ret,0.7926294207572937,,
2026-04-29 08:00:00+00:00,2026-04-29 08:15:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6329842209815979,,
2026-04-29 08:15:00+00:00,2026-04-29 08:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.8167016506195068,,
2026-04-29 08:45:00+00:00,2026-04-29 09:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.708817720413208,,
2026-04-29 09:15:00+00:00,2026-04-29 09:30:00+00:00,-15.0,sl,ret,1,ret,0.6771288514137268,,
2026-04-29 10:00:00+00:00,2026-04-29 10:15:00+00:00,-15.0,sl,ret,1,ret,0.6067079901695251,,
2026-04-29 11:45:00+00:00,2026-04-29 12:00:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.7414501309394836,,
