entry,exit,pnl,reason,type,side
2026-04-13 17:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 17:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 17:05:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-13 17:18:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 17:19:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-13 17:22:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 17:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 18:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 18:34:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 19:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 19:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-13 19:50:00+00:00,,34.899999999999636,target_hit,dip_long_15m,1
2026-04-14 13:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 13:36:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 13:38:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-14 13:39:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 13:51:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 13:52:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 14:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 14:02:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 14:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 14:04:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 14:07:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 14:08:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 14:09:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-14 14:16:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-14 14:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 14:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 14:36:00+00:00,,58.600000000000364,target_hit,dip_long_15m,1
2026-04-14 15:47:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 15:51:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 15:54:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-14 16:02:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 16:18:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 16:20:00+00:00,,-20.0,stop_loss,dip_long_15m,1
