mask,h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
B_wr30_recovery,120,0.4,0.25,1.6,141277,10454,7.399647501008657,34.64414819311313,21.652592620695703,10454
D_wr30_bounce,120,0.25,0.12,2.0833333333333335,63711,10345,16.237384439107846,21.742687160480532,10.436489837030654,10345
C_wr90_mid_drop,240,0.35,0.15,2.3333333333333335,62656,10239,16.3416113381001,30.514797582338165,13.077770392430642,10238
D_wr30_bounce,360,0.35,0.1,3.4999999999999996,63711,10116,15.877948862833732,30.439762024672746,8.697074864192215,10115
C_wr90_mid_drop,360,0.35,0.1,3.4999999999999996,62656,10060,16.055924412665988,30.514797582338165,8.718513594953762,10060
B_wr30_recovery,120,0.4,0.2,2.0,141277,9949,7.042193704566206,34.64414819311313,17.322074096556566,9949
C_wr90_mid_drop,120,0.25,0.12,2.0833333333333335,62656,9948,15.877170582226762,21.7962839873844,10.462216313944513,9948
D_wr30_bounce,240,0.4,0.25,1.6,63711,9886,15.516943698890302,34.78829945676886,21.742687160480532,9886
E_wr90_structure,480,0.3,0.25,1.2,29361,9864,33.5955859814039,25.90554601067373,21.587955008894777,9863
C_wr90_mid_drop,240,0.4,0.25,1.6,62656,9761,15.578715526046988,34.87405437981505,21.7962839873844,9761
E_wr90_structure,480,0.25,0.2,1.25,29361,9758,33.234562855488576,21.587955008894777,17.270364007115823,9758
D_wr30_bounce,120,0.25,0.1,2.5,63711,9728,15.268948847137857,21.742687160480532,8.697074864192215,9728
D_wr30_bounce,240,0.35,0.12,2.9166666666666665,63711,9671,15.179482349986658,30.439762024672746,10.436489837030654,9671
C_wr90_mid_drop,360,0.4,0.12,3.3333333333333335,62656,9647,15.396769662921347,34.87405437981505,10.462216313944513,9646
D_wr30_bounce,360,0.4,0.12,3.3333333333333335,63711,9618,15.096294203512736,34.78829945676886,10.436489837030654,9617
D_wr30_bounce,480,0.4,0.1,4.0,63711,9614,15.090015852835458,34.78829945676886,8.697074864192215,9613
E_wr90_structure,360,0.25,0.2,1.25,29361,9613,32.74071046626477,21.587955008894777,17.270364007115823,9613
C_wr90_mid_drop,240,0.35,0.12,2.9166666666666665,62656,9487,15.14140704800817,30.514797582338165,10.462216313944513,9487
B_wr30_recovery,120,0.4,0.15,2.666666666666667,141277,9417,6.665628517026834,34.64414819311313,12.991555572417422,9417
