feature_idx,channel,bar,bars_ago,importance_s1,importance_s2,importance_avg
718,body_rel,118,31,0.0008064908500758089,9.364205708129246e-05,0.0004500664535785507
719,body_rel,119,30,6.061864660392461e-06,0.00024092310796743475,0.00012349248631391362
720,body_rel,120,29,0.00032603062650398134,0.0,0.00016301531325199067
721,body_rel,121,28,6.124779587855013e-05,1.646564064359384e-05,3.8856718261071986e-05
722,body_rel,122,27,0.0,4.994076198162583e-05,2.4970380990812917e-05
723,body_rel,123,26,0.00020686636663345905,1.73789078446719e-05,0.00011212263723906548
724,body_rel,124,25,0.000716130064936782,6.179426397737892e-06,0.00036115474566725996
725,body_rel,125,24,0.00011477442229528907,4.88237699176383e-05,8.179909610646368e-05
726,body_rel,126,23,0.0018687865451428875,0.00038631932502862417,0.0011275529350857558
727,body_rel,127,22,0.0005481481162729826,7.559140149546509e-07,0.0002744520151439686
728,body_rel,128,21,0.0004012104011523753,1.2038408148391704e-05,0.0002066244046503835
729,body_rel,129,20,7.291149495414476e-06,0.0,3.645574747707238e-06
730,body_rel,130,19,0.0002932026011296938,7.24302322290493e-08,0.00014663751568096145
731,body_rel,131,18,0.0005664799001743732,5.385153580670282e-06,0.0002859325268775218
732,body_rel,132,17,2.919482040939517e-05,9.826821789395252e-06,1.951082109939521e-05
733,body_rel,133,16,0.00025047560256219784,3.2335353898407408e-09,0.00012523941804879385
734,body_rel,134,15,0.00042892165417870266,2.7038194218564845e-06,0.00021581273680027957
735,body_rel,135,14,3.30517372717249e-06,1.682697643896868e-05,1.0066075083070585e-05
736,body_rel,136,13,0.0005069232618198484,2.6071864583488446e-05,0.00026649756320166844
737,body_rel,137,12,0.00039325528340225394,4.291552771052176e-09,0.00019662978747751248
738,body_rel,138,11,5.1454726900496655e-05,0.0004244165348369251,0.0002379356308687109
739,body_rel,139,10,0.00013585990182662886,9.47614530581133e-06,7.266802356622009e-05
740,body_rel,140,9,0.00027973183233591945,0.0003459905779894988,0.0003128612051627091
741,body_rel,141,8,0.0004958564488774431,0.0008363779509920328,0.000666117199934738
742,body_rel,142,7,0.0007958909339535267,0.0002151694679688898,0.0005055302009612082
743,body_rel,143,6,0.00025193447164156537,7.6912528416233e-06,0.00012981286224159432
744,body_rel,144,5,0.0003665636857176495,0.00020177958607078508,0.00028417163589421733
745,body_rel,145,4,9.761579376750563e-05,0.0,4.8807896883752815e-05
746,body_rel,146,3,0.0015936049916402352,2.3882667968870884e-08,0.000796814437154102
747,body_rel,147,2,0.0007097016904489157,0.0,0.00035485084522445784
748,body_rel,148,1,0.0005643674991322951,0.00016136892869610605,0.0003628682139142006
749,body_rel,149,0,0.00048148650808324566,1.3964452034689428e-05,0.00024772548005896753
750,range_rel,0,149,0.0013984857887645147,3.514818521697615e-05,0.0007168169869907454
751,range_rel,1,148,0.0005308989816603995,7.708732195148343e-05,0.0003039931518059415
752,range_rel,2,147,0.00021503910316123396,4.853000323407834e-05,0.00013178455319765616
753,range_rel,3,146,0.0008491737541342882,6.375850032692736e-05,0.00045646612723060777
754,range_rel,4,145,0.0013687463171585437,6.456862509476142e-05,0.0007166574711266525
755,range_rel,5,144,0.001085186757690141,2.0669405130888728e-06,0.0005436268491016149
756,range_rel,6,143,0.0008305553418503849,0.00010898675379270208,0.0004697710478215435
757,range_rel,7,142,0.0010579297194052686,6.447463349690319e-05,0.000561202176451086
758,range_rel,8,141,0.00117388330193631,0.0006964479808119931,0.0009351656413741517
759,range_rel,9,140,0.0007291185417126441,6.482697789319028e-05,0.0003969727598029172
760,range_rel,10,139,0.0032187561777255753,0.0007602685054191073,0.0019895123415723413
761,range_rel,11,138,0.0014123747052716348,0.0005604470875277469,0.0009864108963996909
762,range_rel,12,137,0.0008464273224066308,0.00018745313216889459,0.0005169402272877626
763,range_rel,13,136,0.0006911173004310915,5.212679888008347e-05,0.0003716220496555875
764,range_rel,14,135,0.0013928263577543676,0.0014808587398628104,0.001436842548808589
765,range_rel,15,134,0.0002073889693958021,3.1843332692392597e-05,0.00011961615104409736
766,range_rel,16,133,0.0003256072570266049,2.7546733040506452e-05,0.00017657699503355567
767,range_rel,17,132,0.00033031825333018925,0.00038324377917703893,0.0003567810162536141
768,range_rel,18,131,0.0012348429134165422,0.0003045535835869559,0.000769698248501749
769,range_rel,19,130,0.00017485478038145445,2.833279611576093e-05,0.00010159378824860769
770,range_rel,20,129,0.00025000791212423823,0.00010020596246867284,0.00017510693729645552
771,range_rel,21,128,7.699939360448073e-05,0.00016304360183211678,0.00012002149771829875
